Date,Opponent,Result,SU_Score,Opponent_Score,Attendance
at #1 Northwestern,L,15-18,933,0,14
#18 ARMY,W,18-7,1077,0,17
#9 MARYLAND,L o t,8-9,2097,0,24
at #2 Notre Dame,W,16-14,482,0,2
DUKE,W,15-8,1976,0,5
STONY BROOK,L o t,12-13,1264,0,9
at Virginia Tech,W,15-5,178,0,16
#9 NORTH CAROLINA,W,20-5,2982,0,19
UALBANY,W,20-11,1062,0,3
W,15-14,871,27,0,7
1238, Mar 30,LOUISVILLE,0,0,22
1902,Apr 02,at Cornell,0,0,17
86, Apr 06,PITTSBURGH,0,0,16
1350, Apr 13,at Clemson,0,0,15
1067, Apr 18,at #6 Boston College,0,0,10
4337, Apr 23,vs Louisville,0,0,17
268,Apr 26,vs #6 Virginia,0,0,19
0,Apr 28,vs Boston College,0,0,8
1049,May 12,#14 STONY BROOK,0,0,15
1052,May 16,#6 YALE,0,0,19
887,May 24,vs Boston College,0,0,7
